;меняется порядок;меняется компонент, компоненты
von A bis Z;;
ab und zu;;
bunt Abend;;bunt:a
heilig Abend;;heilig:a
Abschaum der Menschheit;;
es gehen abw?rts mit;1;gehen:v
auf Abwege geraten;1;geraten:v
Ach und Krach;;
auf Achse sein;1;sein:v
Achseln zucken;1;zucken:v
(mit Achseln) zucken;1;zucken:v
(zur Ader) lassen;1;lassen:v
an die falsche Adresse kommen;1;kommen:v
an die falsche Adresse geraten;1;geraten:v
Akten schlie?en;1;schlie?en:v
zu Akten legen;1;legen:v
blind Alarm;;blind:a
alles bleiben beim alten;1;bleiben:v
Anfang vom Ende;;
mit nichts anfangen k?nnen;1;k?nnen:v
mit nichts anfangen wissen;1;wissen:v
wie angegossen passen;1;passen:v
